t,h,dx,dy,X,Y,FPS
7.5687,20.00,0.00,0.00,0.80,0.27,74
7.5847,20.00,0.00,0.00,0.80,0.27,74
7.6011,20.00,0.00,0.00,0.80,0.27,74
7.6120,20.00,0.00,0.00,0.80,0.27,74
7.6238,20.00,0.00,0.00,0.80,0.27,74
7.6336,20.00,0.00,0.00,0.80,0.27,75
7.6462,20.00,0.00,0.00,0.80,0.27,75
7.6638,20.00,0.00,0.00,0.80,0.27,74
7.6712,20.00,0.00,0.00,0.80,0.27,75
7.6841,20.00,0.00,0.00,0.80,0.27,75
7.6952,20.00,0.00,0.00,0.80,0.27,75
7.7106,20.00,0.00,0.00,0.80,0.27,75
7.7199,20.00,0.00,0.00,0.80,0.27,75
7.7370,20.00,0.00,0.00,0.80,0.27,75
7.7516,20.00,0.00,0.00,0.80,0.27,75
7.7687,20.00,0.00,0.00,0.80,0.27,75
7.7881,20.00,0.00,0.00,0.80,0.27,75
7.7998,20.00,0.00,0.00,0.80,0.27,75
7.8180,20.00,0.00,0.00,0.80,0.27,75
7.8361,20.00,0.00,0.00,0.80,0.27,74
7.8467,20.00,0.00,0.00,0.80,0.27,75
7.8551,20.00,0.00,0.00,0.80,0.27,75
7.8678,20.00,0.00,0.00,0.80,0.27,75
7.8800,20.00,0.00,0.00,0.80,0.27,75
7.8910,20.00,0.00,0.00,0.80,0.27,75
7.8995,20.00,0.00,0.00,0.80,0.27,76
7.9100,20.00,0.00,0.00,0.80,0.27,76
7.9219,20.00,0.00,0.00,0.80,0.27,76
7.9343,20.00,0.00,0.00,0.80,0.27,76
7.9432,20.00,0.00,0.00,0.80,0.27,76
7.9547,20.00,0.00,0.00,0.80,0.27,77
7.9670,20.00,0.00,0.00,0.80,0.27,77
7.9826,20.00,0.00,0.00,0.80,0.27,76
8.0506,20.00,0.00,0.00,0.80,0.27,76
8.0650,20.00,0.00,0.00,0.80,0.27,76
8.0757,20.00,0.00,0.00,0.80,0.27,76
8.0853,20.00,0.00,0.00,0.80,0.27,76
8.0935,20.00,0.00,0.00,0.80,0.27,77
8.1029,20.00,0.00,0.00,0.80,0.27,77
8.1205,20.00,0.00,0.00,0.80,0.27,77
8.1347,20.00,0.00,0.00,0.80,0.27,77
8.1550,20.00,0.00,0.00,0.80,0.27,76
8.1646,20.00,0.00,0.00,0.80,0.27,77
8.1759,20.00,0.00,0.00,0.80,0.27,77
8.1850,20.00,0.00,0.00,0.80,0.27,77
8.2455,20.00,0.00,0.00,0.80,0.27,76
8.2539,20.00,0.00,0.00,0.80,0.27,77
8.2652,20.00,0.00,0.00,0.80,0.27,77
8.2765,20.00,0.00,0.00,0.80,0.27,77
8.2850,20.00,0.00,0.00,0.80,0.27,78
8.2937,20.00,0.00,0.00,0.80,0.27,78
8.3103,20.00,0.00,0.00,0.80,0.27,78
8.3191,20.00,0.00,0.00,0.80,0.27,78
8.3363,20.00,0.00,0.00,0.80,0.27,78
8.3505,20.00,0.00,0.00,0.80,0.27,78
8.3590,20.00,0.00,0.00,0.80,0.27,78
8.3684,20.00,0.00,0.00,0.80,0.27,78
8.3800,20.00,0.00,0.00,0.80,0.27,79
8.3900,20.00,0.00,0.00,0.80,0.27,79
8.3984,20.00,0.00,0.00,0.80,0.27,79
8.4146,20.00,0.00,0.00,0.80,0.27,79
8.4251,20.00,0.00,0.00,0.80,0.27,79
8.4383,20.00,0.00,0.00,0.80,0.27,79
8.4465,20.00,0.00,0.00,0.80,0.27,80
8.4565,20.00,0.00,0.00,0.80,0.27,80
8.4735,20.00,0.00,0.00,0.80,0.27,80
8.4864,20.00,0.00,0.00,0.80,0.27,79
8.5024,20.00,0.00,0.00,0.80,0.27,79
8.5205,20.00,0.00,0.00,0.80,0.27,79
8.5288,20.00,0.00,0.00,0.80,0.27,79
8.5480,20.00,0.00,0.00,0.80,0.27,79
8.5554,20.00,0.00,0.00,0.80,0.27,80
8.5638,20.00,0.00,0.00,0.80,0.27,80
8.5740,20.00,0.00,0.00,0.80,0.27,80
8.5843,20.00,0.00,0.00,0.80,0.27,80
8.5931,20.00,0.00,0.00,0.80,0.27,81
8.6037,20.00,0.00,0.00,0.80,0.27,81
8.6206,20.00,0.00,0.00,0.80,0.27,81
8.6349,20.00,0.00,0.00,0.80,0.27,81
8.6489,20.00,0.00,0.00,0.80,0.27,80
8.6579,20.00,0.00,0.00,0.80,0.27,81
8.7858,20.00,0.00,0.00,0.80,0.27,80
8.7930,20.00,0.00,0.00,0.80,0.27,81
8.8020,20.00,0.00,0.00,0.80,0.27,81
8.8181,20.00,0.00,0.00,0.80,0.27,81
8.8287,20.00,0.00,0.00,0.80,0.27,81
8.8416,20.00,0.00,0.00,0.80,0.27,81
8.8525,20.00,0.00,0.00,0.80,0.27,81
8.8635,20.00,0.00,0.00,0.80,0.27,81
8.8708,20.00,0.00,0.00,0.80,0.27,82
8.8815,20.00,0.00,0.00,0.80,0.27,82
8.8970,20.00,0.00,0.00,0.80,0.27,82
8.9059,20.00,0.00,0.00,0.80,0.27,82
8.9166,20.00,0.00,0.00,0.80,0.27,82
8.9260,20.00,0.00,0.00,0.80,0.27,82
8.9408,20.00,0.00,0.00,0.80,0.27,82
8.9520,20.00,0.00,0.00,0.80,0.27,82
8.9660,20.00,0.00,0.00,0.80,0.27,82
8.9756,20.00,0.00,0.00,0.80,0.27,82
8.9839,20.00,0.00,0.00,0.80,0.27,83
8.9939,20.00,0.00,0.00,0.80,0.27,83
9.0061,20.00,0.00,0.00,0.80,0.27,83
9.0148,20.00,0.00,0.00,0.80,0.27,83
9.0276,20.00,0.00,0.00,0.80,0.27,83
9.0494,20.00,0.00,0.00,0.80,0.27,83
9.0660,20.00,0.00,0.00,0.80,0.27,82
9.0820,20.00,0.00,0.00,0.80,0.27,82
9.0982,20.00,0.00,0.00,0.80,0.27,82
9.1150,20.00,0.00,0.00,0.80,0.27,82
9.1262,20.00,0.00,0.00,0.80,0.27,82
9.1411,20.00,0.00,0.00,0.80,0.27,82
9.1651,20.00,0.00,0.00,0.80,0.27,81
9.1758,20.00,0.00,0.00,0.80,0.27,81
9.1829,20.00,0.00,0.00,0.80,0.27,82
9.2886,20.00,0.00,0.00,0.80,0.27,81
9.2972,20.00,0.00,0.00,0.80,0.27,82
9.3145,20.00,0.00,0.00,0.80,0.27,81
9.3247,20.00,0.00,0.00,0.80,0.27,82
9.4483,20.00,0.00,0.00,0.80,0.27,81
9.4568,20.00,0.00,0.00,0.80,0.27,81
9.4660,20.00,0.00,0.00,0.80,0.27,81
9.4883,20.00,0.00,0.00,0.80,0.27,81
9.5033,20.00,0.00,0.00,0.80,0.27,81
9.5789,20.00,0.00,0.00,0.80,0.27,80
9.5871,20.00,0.00,0.00,0.80,0.27,81
9.5986,20.00,0.00,0.00,0.80,0.27,81
9.6100,20.00,0.00,0.00,0.80,0.27,81
9.6258,20.00,0.00,0.00,0.80,0.27,81
9.6385,20.00,0.00,0.00,0.80,0.27,81
9.6541,20.00,0.00,0.00,0.80,0.27,80
9.6728,20.00,0.00,0.00,0.80,0.27,80
9.6854,20.00,0.00,0.00,0.80,0.27,80
9.6930,20.00,0.00,0.00,0.80,0.27,81
9.7083,20.00,0.00,0.00,0.80,0.27,80
9.7233,20.00,0.00,0.00,0.80,0.27,80
9.7326,20.00,0.00,0.00,0.80,0.27,81
9.7530,20.00,0.00,0.00,0.80,0.27,80
9.7675,20.00,0.00,0.00,0.80,0.27,80
9.7879,20.00,0.00,0.00,0.80,0.27,80
9.7992,20.00,0.00,0.00,0.80,0.27,80
9.8515,20.00,0.00,0.00,0.80,0.27,79
9.8608,20.00,0.00,0.00,0.80,0.27,80
9.8713,20.00,0.00,0.00,0.80,0.27,80
9.8801,20.00,0.00,0.00,0.80,0.27,80
9.8925,20.00,0.00,0.00,0.80,0.27,80
9.9066,20.00,0.00,0.00,0.80,0.27,80
9.9177,20.00,0.00,0.00,0.80,0.27,80
